2025-04-12 23:10:55,595 - ERROR - D:\AI\vector\output_dir\output_part_2.json | Line: 2354 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:55,770 - ERROR - D:\AI\vector\output_dir\output_part_4.json | Line: 2687 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:55,858 - ERROR - D:\AI\vector\output_dir\output_part_5.json | Line: 2425 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' заменено на 
2025-04-12 23:10:55,859 - ERROR - D:\AI\vector\output_dir\output_part_5.json | Line: 2425 | Element: 1 | Поле 'Postanovlenie suda apelyacionnoi instancii' слишком короткое (мин. 900 симв.)
2025-04-12 23:10:55,949 - ERROR - D:\AI\vector\output_dir\output_part_6.json | Line: 2212 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,128 - ERROR - D:\AI\vector\output_dir\output_part_8.json | Line: 2329 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,296 - ERROR - D:\AI\vector\output_dir\output_part_10.json | Line: 2724 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,462 - ERROR - D:\AI\vector\output_dir\output_part_12.json | Line: 1612 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,554 - ERROR - D:\AI\vector\output_dir\output_part_13.json | Line: 2047 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,634 - ERROR - D:\AI\vector\output_dir\output_part_14.json | Line: 2010 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,714 - ERROR - D:\AI\vector\output_dir\output_part_15.json | Line: 1332 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,876 - ERROR - D:\AI\vector\output_dir\output_part_17.json | Line: 1277 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:56,971 - ERROR - D:\AI\vector\output_dir\output_part_18.json | Line: 970 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,053 - ERROR - D:\AI\vector\output_dir\output_part_19.json | Line: 1182 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,141 - ERROR - D:\AI\vector\output_dir\output_part_20.json | Line: 1934 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,227 - ERROR - D:\AI\vector\output_dir\output_part_21.json | Line: 1763 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,308 - ERROR - D:\AI\vector\output_dir\output_part_22.json | Line: 1248 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,390 - ERROR - D:\AI\vector\output_dir\output_part_23.json | Line: 1669 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,476 - ERROR - D:\AI\vector\output_dir\output_part_24.json | Line: 1429 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,566 - ERROR - D:\AI\vector\output_dir\output_part_25.json | Line: 2045 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,650 - ERROR - D:\AI\vector\output_dir\output_part_26.json | Line: 2175 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
2025-04-12 23:10:57,906 - ERROR - D:\AI\vector\output_dir\output_part_29.json | Line: 1992 | Element: 1 | stock[2] - 'Осужденный.*': несоответствие формата
